MasterCatalogName,CatalogName,ProductCode,IsActive,IsContentOverridden,IsPriceOverridden,IsSEOOverridden,CategoryCodes,ProductName,Price,SalePrice,MSRP,MAP,MAPEffectiveStartDate,MAPEffectiveEndDate,ProductShortDescription,ContentFullProductDescription,SEOMetaTagTitle,SEOMetaTagDescription,SEOMetaTagKeywords,SEOFriendlyURL
Mystic_Dev,Mystic_Dev,Backp-6251,Yes,No,No,Yes,"CampHike,BackPack",The North Face Recon Backpack,99.0000,,,,,,"<span style=""color: rgb(48, 52, 52); font-family: &quot;Proxima Nova Light&quot;, &quot;Helvetica Neue&quot;, Helvetica, Helvetica, Arial, sans-serif;""><b style=""""><font size=""4"">The North Face Recon Backpack will let you stay had a sharp design update with an enhanced feature set, improved suspension and new materials.&nbsp;</font></b></span>",s,,,,the-north-face-recon-backpack
Mystic_Dev,Mystic_Dev,COSTA2,Yes,No,No,Yes,CampHike,Costa Lasercut Strap Gladiator Sandal,38.0000,9.9800,,,,,,,,,,costa-lasercut-strap-gladiator-sandal
Mystic_Dev,Mystic_Dev,787874,Yes,No,No,Yes,CampHike,Soft Paw,174.9900,,,,,,"<span style=""font-family: TradeGothicLT, sans-serif; font-size: 21px;"">Crafted from comfortable full-grain leather and ScentBan™ memory foam footbeds.</span>",,,,,soft-paw
Mystic_Dev,Mystic_Dev,787873,Yes,No,No,Yes,CampHike,Men's Loggermax 9-inch Logger Boot,249.9900,,,,,,"<span style=""color: rgb(37, 40, 40); font-family: TStar, sans-serif; font-size: 16px; background-color: rgb(240, 236, 225);"">This proven workhorse is built on a durable, heavy-duty Goodyear® welt construction platform with a very aggressive lug sole. LoggerMax is the preferred choice for getting through long hours in work environments where absolute traction and stability are a must, such as those found in forestry and the oil and gas industry. The sole is also oil, gas and heat-resistant.</span>",,,,,men-s-loggermax-9-inch-logger-boot
Mystic_Dev,Mystic_Dev,787872,Yes,No,No,Yes,CampHike,Iron Ranger,329.9900,,,,,,"<span style=""color: rgb(34, 36, 34); font-family: TStar-Medium, sans-serif; font-size: 18px; letter-spacing: 1px;"">The Iron Ranger is an American icon that is beloved for its standout style and long-lasting construction. With its toe cap, speed hooks, and Vibram® outsole, there’s no mistaking this leather legend.</span>","<h2 class=""c-product-features__family-name"" style=""box-sizing: border-box; margin: 0px 0px 10px; padding: 0px; font-family: TStar-Heavy, sans-serif; font-weight: 400; line-height: 1; color: rgb(34, 36, 34); text-transform: uppercase; font-size: 32px; letter-spacing: 1.5px; background-color: rgb(237, 232, 221);"">THE IRON RANGER</h2><div class=""s-content"" style=""box-sizing: border-box; color: rgb(34, 36, 34); font-family: TStar-Medium, sans-serif; font-size: 16px; background-color: rgb(237, 232, 221);""><p style=""box-sizing: border-box; margin: 0px 0px 1rem; padding: 0px;"">The Iron Ranger was originally built for iron miners in the 1930s. In the decades since, it has grown indispensable for owners from all walks of life thanks to its iconic style and longevity. The six-inch boot’s signature feature is a leather toe cap that is as distinctive as it is durable. Each pair develops a personalized fit and custom comfort over time thanks to leather insoles and a cork midsole that form to feet. The boots are built with a Goodyear welt and Puritan triple-stitch construction, and brass speed hooks provide precision lacing and a visual hit of hardware. The Iron Ranger is anchored with a Vibram® 430 Mini-lug outsole.</p><p style=""box-sizing: border-box; margin: 0px 0px 1rem; padding: 0px;""></p><h3 style=""box-sizing: border-box; margin: 20px 0px 0.5rem; padding: 0px; font-family: TStar-Heavy, sans-serif; font-weight: 400; line-height: 1.2; color: inherit; text-transform: uppercase; font-size: 20px; letter-spacing: 1.5px;"">FIT INFORMATION</h3><p style=""box-sizing: border-box; margin: 0px 0px 1rem; padding: 0px;"">A new pair of Red Wing Heritage footwear should fit comfortably tight on the foot, with enough room to freely wiggle toes. As you wear the footwear, the full grain leather upper, insole, and cork midsole will mold to your feet, creating an increasingly personalized fit over time. We recommend trying on footwear in store to ensure proper fit.</p><p style=""box-sizing: border-box; margin: 0px 0px 1rem; padding: 0px;""></p><h3 style=""box-sizing: border-box; margin: 20px 0px 0.5rem; padding: 0px; font-family: TStar-Heavy, sans-serif; font-weight: 400; line-height: 1.2; color: inherit; text-transform: uppercase; font-size: 20px; letter-spacing: 1.5px;"">NO. 8 LAST</h3><p style=""box-sizing: border-box; margin: 0px 0px 1rem; padding: 0px;""></p><ul style=""box-sizing: border-box; margin: 20px 0px; padding: 0px 0px 0px 30px;""><li style=""box-sizing: border-box;"">Features a bump toe that allows toes to move more naturally.</li><li style=""box-sizing: border-box; margin-top: 10px;"">Fits a wide variety of foot shapes.</li></ul></div>",,"THE IRON RANGERThe Iron Ranger was originally built for iron miners in the 1930s. In the decades since, it has grown indispensable for owners from all walks of life thanks to its iconic style and longevity. The six-inch boot’s signature feature is a leather toe cap that is as distinctive as it is durable. Each pair develops a personalized fit and custom comfort over time thanks to leather insoles and a cork midsole that form to feet. The boots are built with a Goodyear welt and Puritan triple-stitch construction, and brass speed hooks provide precision lacing and a visual hit of hardware. The Iron Ranger is anchored with a Vibram® 430 Mini-lug outsole.FIT INFORMATIONA new pair of Red Wing Heritage footwear should fit comfortably tight on the foot, with enough room to freely wiggle toes. As you wear the footwear, the full grain leather upper, insole, and cork midsole will mold to your feet, creating an increasingly personalized fit over time. We recommend trying on footwear in store to ensure proper fit.NO. 8 LASTFeatures a bump toe that allows toes to move more naturally.Fits a wide variety of foot shapes.",,iron-ranger
Mystic_Dev,Mystic_Dev,221546M140004,Yes,No,No,Yes,CampHike,BAPE Green Ape Head One Point Bucket Hat,120.0000,,,,,,"<span style=""color: rgb(0, 0, 0); font-family: roboto, sans-serif; font-size: 13px;"">​</span><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">Cotton twill bucket hat in green.</span></font><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;""><br></span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">· Logo embroidered at face</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">· Embroidered eyelets at crown</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">· Textile logo flag at side</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">· Quilted brim</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;""><br></span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">Supplier color: Olive drab</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;""><br></span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">100% cotton.</span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;""><br></span></font></div><div style=""""><font face=""roboto, sans-serif""><span style=""font-size: 13px;"">Imported.</span></font></div>",,,,,bape-green-ape-head-one-point-bucket-hat
Mystic_Dev,Mystic_Dev,HikeJack_011,Yes,No,No,Yes,"ClothesShoes,157",Nitrous Hooded Down Parka - Women's,280.0000,,,,,,"The stylish hooded Mountain Hardwear Nitrous Down Parka performs like a serious, substantial jacket, and is made for exploring the urban wonderland on cold winter days.","•	Q.Shield Down 800-fill insulation repels moisture to keep you warm even when wet&nbsp;<div>•	Excellent warmth-to-weight ratio; lightweight and easy to pack&nbsp;</div><div>•	Soft yet tough, 20-denier nylon face fabric resists weather and abrasion&nbsp;</div><div>•	Long hem length provides extra warmth and coverage&nbsp;</div><div>•	Insulated 2-way adjustable hood allows you to easily customize the fit&nbsp;</div><div>•	Compresses down like the more technical jackets for unbeatable packability&nbsp;</div><div>•	Elastane cuffs seal in warmth and block out weather
</div>",,"•	Q.Shield Down 800-fill insulation repels moisture to keep you warm even when wet •	Excellent warmth-to-weight ratio; lightweight and easy to pack •	Soft yet tough, 20-denier nylon face fabric resists weather and abrasion •	Long hem length provides extra warmth and coverage •	Insulated 2-way adjustable hood allows you to easily customize the fit •	Compresses down like the more technical jackets for unbeatable packability •	Elastane cuffs seal in warmth and block out weather",,nitrous-hooded-down-parka-women-s
Mystic_Dev,Mystic_Dev,HikeJack_010,Yes,No,No,Yes,"ClothesShoes,157",PreCip Rain Jacket - Women's,100.0000,,,,,,"Don't just beat the rain: Enjoy it in the women's PreCip Rain jacket. NanoPro™ fabric is waterproof, windproof and more breathable than ever before.","•	NanoPro fabric is 43% more breathable than the previous PreCip technology, keeping you drier and more comfortable&nbsp;<div>•	Jacket is lightweight, durable and compressible; 100% taped seams help seal out the elements&nbsp;</div><div>•	DryTouch finish next to the skin reduces condensation and that sticky, clammy feeling&nbsp;</div><div>•	Pit zips let you release excess heat buildup quickly and circulate fresh air when you're hiking hard&nbsp;</div><div>•	Fully adjustable hood rolls up and stores away inside the collar when not needed&nbsp;</div><div>•	Stormflap over front zipper secures with hook-and-loop closures; DriClime#174; chin guard wicks away moisture and is soft against skin&nbsp;</div><div>•	Zippered hand pockets allow easy access even with a pack on; one pocket serves as a stuff sack&nbsp;</div><div>•	Drawcord hem; hook-and-loop cuff adjustments&nbsp;</div><div>•	Angel-Wing Movement™, allows full range of arm motion and prevents jacket from riding up when arms are raised
</div>",,"•	NanoPro fabric is 43% more breathable than the previous PreCip technology, keeping you drier and more comfortable •	Jacket is lightweight, durable and compressible; 100% taped seams help seal out the elements •	DryTouch finish next to the skin reduces condensation and that sticky, clammy feeling •	Pit zips let you release excess heat buildup quickly and circulate fresh air when you're hiking hard •	Fully adjustable hood rolls up and stores away inside the collar when not needed •	Stormflap over front zipper secures with hook-and-loop closures; DriClime#174; chin guard wicks away moisture and is soft against skin •	Zippered hand pockets allow easy access even with a pack on; one pocket serves as a stuff sack •	Drawcord hem; hook-and-loop cuff adjustments •	Angel-Wing Movement™, allows full range of arm motion and prevents jacket from riding up when arms are raised",,precip-rain-jacket-women-s
Mystic_Dev,Mystic_Dev,HikeJack_009,Yes,No,No,Yes,"ClothesShoes,157",Torrentshell Jacket - Women's,129.0000,,,,,,"Come snow, freezing rain or tropical storms, the Patagonia Torrentshell rain jacket keeps you dry in wet conditions with its lightweight, durable and versatile H2No waterproof protection.","<div>2.5-layer waterproof, breathable H2No Performance Standard recycled nylon shell protects against the elements</div>
<div>2-way-adjustable hood with a laminated visor rolls down and stows with a simplified cord-and-hook design&nbsp;</div>
<div>Microfleece-lined neck provides comfort and protects waterproof / breathable barrier&nbsp;</div>
<div>Center-front zipper features minimal-welt exterior and interior storm flaps that create a zipper-garage chin guard</div>
<div>Two zippered hand pockets and venting pit zips have welted exterior storm flaps and durable water repellent-treated zippers&nbsp;</div>
<div>Hook-and-loop cuff closures and adjustable drawcord hem seal out weather&nbsp;</div>
<div>Jacket stuffs into its own hand pocket with carabiner clip-in loop&nbsp;</div>
<div>Nylon fabric is bluesign™ approved</div>",,"•	2.5-layer waterproof, breathable H2No Performance Standard recycled nylon shell protects against the elements
•	2-way-adjustable hood with a laminated visor rolls down and stows with a simplified cord-and-hook design •	Microfleece-lined neck provides comfort and protects waterproof / breathable barrier •	Center-front zipper features minimal-welt exterior and interior storm flaps that create a zipper-garage chin guard
•	Two zippered hand pockets and venting pit zips have welted exterior storm flaps and durable water repellent-treated zippers •	Hook-and-loop cuff closures and adjustable drawcord hem seal out weather •	Jacket stuffs into its own hand pocket with carabiner clip-in loop •	Nylon fabric is bluesign™ approved",,torrentshell-jacket-women-s
Mystic_Dev,Mystic_Dev,HikeJack_008,Yes,No,No,Yes,"ClothesShoes,157",Momentum Full-Zip Fleece Jacket - Women's,99.0000,,,85.0000,,,Layer up for your early-morning approaches with The North Face Momentum full-zip fleece jacket. It offers just the right amount of warmth and protection for active endeavors in the cold.,"•	Midweight fleece has ample stretch for full range of motion on the trails&nbsp;<div>•	Hand pockets secure with zippers&nbsp;</div><div>•	Active fit
</div>",,•	Midweight fleece has ample stretch for full range of motion on the trails •	Hand pockets secure with zippers •	Active fit,,momentum-full-zip-fleece-jacket-women-s
